request_id,team,batch_id,title,build_scope,priority,status,owner,reviewer,target_milestone,source_ids,asset_ids,brief_path,depends_on,acceptance_gate,evidence
REQ-ART-2026-0001,ART,BATCH-VS01,버티컬 슬라이스 아트 전수 명세 제작,vertical_slice,P1,ACCEPTED,210,gatam,PROD_01_VERTICAL_SLICE,M2_BEDROOM;M1_PARLOR;M1_LIBRARY_OUTER;M1_GREAT_CLOCK;VS01_OPENING_RECAP;A1;NORMAL_SLEEP;NORMAL_RESET;A2;VS01_B3_CONTEXT_FIXTURE;B3_A;B3_B;BF;MEM_EDGAR_B3_FAILURE_01;VS01_EDGAR_MEMORY_REACTION;BSHORT;VS01_S2_PREVIEW,ART_BG_M2_BEDROOM;ART_OVR_M2_BEDROOM;ART_BG_M1_PARLOR;ART_OVR_M1_PARLOR;ART_BG_M1_LIBRARY_OUTER;ART_OVR_M1_LIBRARY_OUTER;ART_BG_M1_GREAT_CLOCK;ART_OVR_M1_GREAT_CLOCK;ART_OBJ_BEDROOM_BED;ART_OBJ_BEDROOM_WINDOW;ART_OBJ_BEDROOM_MIRROR;ART_OBJ_BEDROOM_CALL_CORD;ART_OBJ_SUBJECT_NOTEBOOK_SIM;ART_OBJ_LIBRARY_OUTER_SHELVES;ART_OBJ_LIBRARY_OUTER_CLOCK;ART_PUZ_B3_A_PANEL;VFX_PUZ_B3_A_STATE;ART_PUZ_B3_B_PANEL;VFX_PUZ_B3_B_STATE;ART_EVT_NORMAL_RESET;VFX_SIG_EDGAR;VFX_SIG_SUBJECT;ART_CHR_EDGAR_SHEET;ART_CHR_EDGAR_PORTRAIT;ART_CHR_EDGAR_POSE;UI_DIALOGUE;UI_DIALOGUE_HISTORY;UI_NOTEBOOK;UI_PUZZLE_COMMON,docs/requests/REQ-ART-2026-0001_버티컬슬라이스.md,PB-006;PB-016,TEAM_ACK+CAPACITY+SCOPE_CONFIRM,request_revision=5;scope=exhaustive_art;accepted_on=2026-08-29;acceptance_basis=user_confirmation;team_package_estimate=2_weeks_elapsed;estimate_scope=team_package_unallocated
REQ-AUD-2026-0001,AUD,BATCH-VS01,버티컬 슬라이스 사운드 대표 제작,vertical_slice,P1,ACCEPTED,NOne,gatam,PROD_01_VERTICAL_SLICE,M2_BEDROOM;M1_LIBRARY_OUTER;M1_GREAT_CLOCK;A1;A2;B3_A;B3_B;NORMAL_RESET;BSHORT;VS01_S2_PREVIEW,AUD_AMB_M2_BEDROOM;AUD_AMB_M1_LIBRARY_OUTER;AUD_AMB_M1_GREAT_CLOCK;BGM_S0_ROUTINE;BGM_S1_SUSPICION;BGM_S2_LEAK;AUD_PUZ_B3_A;AUD_PUZ_B3_B;AUD_EVT_NORMAL_RESET;AUD_SIG_EDGAR;SFX_NORMAL_RESET_SLEEP;SFX_NORMAL_RESET_COMMIT;SFX_CLOCK_BELL_13;SFX_CLOCK_NETWORK_LOCK;SFX_NOTEBOOK_WRITE;SFX_SHORTCUT_CONFIRM;SFX_UI_FOCUS;SFX_UI_CONFIRM;SFX_UI_CANCEL,docs/requests/REQ-AUD-2026-0001_버티컬슬라이스.md,PB-016,TEAM_ACK+CAPACITY+SCOPE_CONFIRM,request_revision=1;accepted_on=2026-08-29;acceptance_basis=user_confirmation;team_package_estimate=1_month_elapsed;estimate_scope=team_package_unallocated
REQ-CNT-2026-0001,CNT,BATCH-VS01,버티컬 슬라이스 대사·상호작용 원문,vertical_slice,P1,ACCEPTED,gatam,beru,PROD_01_VERTICAL_SLICE,A1;A2;B3_A;B3_B;BF;BSHORT;NORMAL_RESET;MEM_EDGAR_B3_FAILURE_01;VS01_S2_PREVIEW,,docs/requests/REQ-CNT-2026-0001_버티컬슬라이스.md,PB-006;PB-014;PB-017,TEAM_ACK+CAPACITY+SCOPE_CONFIRM,request_revision=2;accepted_on=2026-08-29;acceptance_basis=user_confirmation;team_package_estimate=2_weeks_elapsed;estimate_scope=team_package_unallocated
REQ-ART-2026-0002,ART,BATCH-DEMO02,공개 데모 잔여 아트 전수 제작,demo_remainder,P2,ACCEPTED,210,gatam,M2_DEMO_COMPLETE,DEMO_ART_REMAINDER;P1_D5;M2_DEMO_COMPLETE,ART_BG_M2_UPPER_HALL;ART_OVR_M2_UPPER_HALL;ART_BG_M2_STAIR_LANDING;ART_OVR_M2_STAIR_LANDING;ART_BG_M1_CENTRAL_HALL;ART_OVR_M1_CENTRAL_HALL;ART_BG_M1_MIRROR_GALLERY;ART_OVR_M1_MIRROR_GALLERY;ART_BG_M1_DINING_ROOM;ART_OVR_M1_DINING_ROOM;ART_BG_M1_LIBRARY_INNER;ART_OVR_M1_LIBRARY_INNER;ART_BG_M1_NORTH_ARCHIVE_HALL;ART_OVR_M1_NORTH_ARCHIVE_HALL;ART_BG_M1_PORTRAIT_STORAGE;ART_OVR_M1_PORTRAIT_STORAGE;ART_BG_M1_COLOR_ROOM_ENTRY;ART_OVR_M1_COLOR_ROOM_ENTRY;ART_BG_M1_WEST_HALL;ART_OVR_M1_WEST_HALL;ART_BG_M1_BASEMENT_ENTRY;ART_OVR_M1_BASEMENT_ENTRY;ART_BG_M1_EAST_HALL;ART_OVR_M1_EAST_HALL;ART_BG_M1_KITCHEN;ART_OVR_M1_KITCHEN;ART_BG_M1_GREENHOUSE_VESTIBULE;ART_OVR_M1_GREENHOUSE_VESTIBULE;ART_BG_M1_GREENHOUSE;ART_OVR_M1_GREENHOUSE;ART_BG_M1_SERVICE_HALL;ART_OVR_M1_SERVICE_HALL;ART_BG_M1_SERVANT_COMMON;ART_OVR_M1_SERVANT_COMMON;ART_BG_M1_TOOL_ROOM;ART_OVR_M1_TOOL_ROOM;ART_BG_M1_WIRING_ROOM;ART_OVR_M1_WIRING_ROOM;ART_BG_B1_BASEMENT_STAIR;ART_OVR_B1_BASEMENT_STAIR;ART_BG_B1_AXIS_CHAMBER;ART_OVR_B1_AXIS_CHAMBER;ART_BG_B1_STORAGE;ART_OVR_B1_STORAGE;ART_BG_B1_CLOCKWORK_HEART;ART_OVR_B1_CLOCKWORK_HEART;ART_OBJ_ARCHIVE_NAMEPLATES;ART_OBJ_ARCHIVE_PORTRAIT_01;ART_OBJ_BASEMENT_AXIS_DEVICE;ART_OBJ_DINING_TABLE;ART_OBJ_GREENHOUSE_DOOR;ART_OBJ_GREENHOUSE_PLANTER;ART_OBJ_HALL_CALL_CORD;ART_OBJ_HALL_FAMILY_PORTRAIT;ART_OBJ_HALL_WALLPAPER;ART_OBJ_KITCHEN_LIFE_PIPE;ART_OBJ_KITCHEN_TEA_SET;ART_OBJ_LIBRARY_INDEX_DRAWERS;ART_OBJ_LIBRARY_INNER_SHELVES;ART_OBJ_LIBRARY_JOURNAL;ART_OBJ_LIBRARY_JOURNAL_DESK;ART_OBJ_LIBRARY_MAP_FLOOR;ART_OBJ_LIBRARY_PORTRAIT_LATCH;ART_OBJ_LIBRARY_RECORD_CLOCK;ART_OBJ_LIBRARY_SERVICE_ALCOVE;ART_OBJ_MIRROR_BLACK;ART_CHR_SUBJECT_SHEET;ART_CHR_SUBJECT_PORTRAIT;ART_CHR_SUBJECT_POSE;ART_CHR_SUBJECT_FRACTURE;ART_CHR_EDGAR_FRACTURE;ART_CHR_MARA1_SHEET;ART_CHR_MARA1_PORTRAIT;ART_CHR_MARA1_POSE;ART_CHR_MARA1_FRACTURE;ART_CHR_LUCA_SHEET;ART_CHR_LUCA_PORTRAIT;ART_CHR_LUCA_POSE;ART_CHR_LUCA_FRACTURE;ART_CHR_IRIS_SHEET;ART_CHR_IRIS_PORTRAIT;ART_CHR_IRIS_POSE;ART_CHR_IRIS_FRACTURE;ART_CHR_MARA2_SHEET;ART_CHR_MARA2_PORTRAIT;ART_CHR_MARA2_POSE;ART_CHR_MARA2_FRACTURE;UI_TITLE;UI_FIRST_RUN_ACCESS;UI_SETTINGS;UI_SAVE_SLOTS;UI_INVENTORY;UI_MAP;UI_DEMO_END;ART_PUZ_C3_PANEL;VFX_PUZ_C3_STATE;ART_PUZ_C4_PANEL;VFX_PUZ_C4_STATE;ART_PUZ_C5_PANEL;VFX_PUZ_C5_STATE;ART_PUZ_D0_A_PANEL;VFX_PUZ_D0_A_STATE;ART_PUZ_D1_PANEL;VFX_PUZ_D1_STATE;ART_PUZ_D4_PANEL;VFX_PUZ_D4_STATE;ART_EVT_D5_FILTER_BREAK;ART_EVT_JOURNAL_RESTORE;VFX_SIG_MARA1;VFX_SIG_LUCA;VFX_SIG_IRIS;VFX_SIG_MARA2;FONT_UI_KO;FONT_UI_LATIN;FONT_SYMBOL_FALLBACK,docs/requests/REQ-ART-2026-0002_공개데모잔여.md,REQ-ART-2026-0001,VS01_THROUGHPUT_RECORDED,request_revision=1;scope_from=asset_manifest.csv;accepted_on=2026-08-29;acceptance_basis=user_confirmation;team_package_estimate=2_weeks_elapsed;estimate_scope=team_package_unallocated
REQ-AUD-2026-0002,AUD,BATCH-DEMO02,공개 데모 잔여 사운드 전수 제작,demo_remainder,P2,ACCEPTED,NOne,gatam,M2_DEMO_COMPLETE,DEMO_AUDIO_REMAINDER;P1_D5;M2_DEMO_COMPLETE,AUD_AMB_M2_UPPER_HALL;AUD_AMB_M2_STAIR_LANDING;AUD_AMB_M1_CENTRAL_HALL;AUD_AMB_M1_PARLOR;AUD_AMB_M1_MIRROR_GALLERY;AUD_AMB_M1_DINING_ROOM;AUD_AMB_M1_LIBRARY_INNER;AUD_AMB_M1_NORTH_ARCHIVE_HALL;AUD_AMB_M1_PORTRAIT_STORAGE;AUD_AMB_M1_COLOR_ROOM_ENTRY;AUD_AMB_M1_WEST_HALL;AUD_AMB_M1_BASEMENT_ENTRY;AUD_AMB_M1_EAST_HALL;AUD_AMB_M1_KITCHEN;AUD_AMB_M1_GREENHOUSE_VESTIBULE;AUD_AMB_M1_GREENHOUSE;AUD_AMB_M1_SERVICE_HALL;AUD_AMB_M1_SERVANT_COMMON;AUD_AMB_M1_TOOL_ROOM;AUD_AMB_M1_WIRING_ROOM;AUD_AMB_B1_BASEMENT_STAIR;AUD_AMB_B1_AXIS_CHAMBER;AUD_AMB_B1_STORAGE;AUD_AMB_B1_CLOCKWORK_HEART;AUD_PUZ_C3;AUD_PUZ_C4;AUD_PUZ_C5;AUD_PUZ_D0_A;AUD_PUZ_D1;AUD_PUZ_D4;AUD_EVT_D5_FILTER_BREAK;AUD_EVT_JOURNAL_RESTORE;AUD_SIG_MARA1;AUD_SIG_LUCA;AUD_SIG_IRIS;AUD_SIG_MARA2;AUD_SIG_SUBJECT;BGM_TITLE;BGM_D5_BREAK;SFX_MIRROR_CLEAN;SFX_MIRROR_REVEAL;SFX_JOURNAL_RESTORE;SFX_HARD_FAILURE_COMMIT;SFX_DOOR_LOCK;SFX_DOOR_UNLOCK;SFX_ITEM_PICKUP;SFX_PUZZLE_VALIDATE;SFX_PUZZLE_REJECT;SFX_SAVE_START;SFX_SAVE_COMPLETE,docs/requests/REQ-AUD-2026-0002_공개데모잔여.md,REQ-AUD-2026-0001,VS01_THROUGHPUT_RECORDED,request_revision=1;scope_from=asset_manifest.csv;accepted_on=2026-08-29;acceptance_basis=user_confirmation;team_package_estimate=1_month_elapsed;estimate_scope=team_package_unallocated
REQ-CNT-2026-0002,CNT,BATCH-DEMO02,공개 데모 콘텐츠 원문 전수 작성,demo_remainder,P2,ACCEPTED,gatam,beru,M2_DEMO_COMPLETE,P1_D5;CNT_EP00;CNT_EP01;CNT_EP02;CNT_EP03,,docs/requests/REQ-CNT-2026-0002_공개데모원문.md,REQ-CNT-2026-0001,VS01_STRING_THROUGHPUT_RECORDED,request_revision=1;scope_from=v04_event_registry;accepted_on=2026-08-29;acceptance_basis=user_confirmation;team_package_estimate=2_weeks_elapsed;estimate_scope=team_package_unallocated
REQ-ART-2026-0003,ART,BATCH-FULL03,본편 전용 아트 전수 제작,full_only,P2,ACCEPTED,210,gatam,FULL_00_CONTENT_LOCK,FULL_ART;D6_EDC;ED_REALITY;ED_STAY,ART_BG_H0_SERVICE_SPINE;ART_OVR_H0_SERVICE_SPINE;ART_BG_H0_CLOCK_MACHINE;ART_OVR_H0_CLOCK_MACHINE;ART_BG_H0_LIFE_SUPPORT;ART_OVR_H0_LIFE_SUPPORT;ART_BG_H0_CLIMATE_CONTROL;ART_OVR_H0_CLIMATE_CONTROL;ART_BG_H0_COLOR_SEPARATION;ART_OVR_H0_COLOR_SEPARATION;ART_BG_H0_PERSONALITY_ARCHIVE;ART_OVR_H0_PERSONALITY_ARCHIVE;ART_BG_H0_CORE_PATH;ART_OVR_H0_CORE_PATH;ART_BG_H0_CORE_RECORDS;ART_OVR_H0_CORE_RECORDS;ART_BG_H0_CORE_CHAMBER;ART_OVR_H0_CORE_CHAMBER;ART_BG_R0_CRYO_CHAMBER;ART_BG_R0_FACILITY_EXIT;ART_BG_R0_SURFACE_THRESHOLD;ART_OBJ_COLOR_SEPARATOR_PANEL;ART_OBJ_CORE_LOOP_STABILIZER;ART_OBJ_CORE_NOTEBOOK_TERMINAL;ART_OBJ_CORE_WAKE_DEVICE;ART_OBJ_EMERGENCY_REST_CAPSULE;ART_OBJ_PERSONALITY_ARCHIVE_TERMINAL;ART_OBJ_REALITY_BREATH_MONITOR;ART_OBJ_REALITY_CAPSULE_GLASS;ART_OBJ_REALITY_DISTANT_SIGNAL;ART_OBJ_REALITY_DRY_PLANTER;ART_OBJ_REALITY_EMPTY_STAND;ART_OBJ_REALITY_EXIT_PANEL;ART_OBJ_REALITY_FIELD_NOTEBOOK;ART_OBJ_REALITY_HAND;ART_OBJ_REALITY_NAME_WALL;ART_OBJ_REALITY_RESTRAINT;ART_OBJ_REALITY_TOOLBOX;ART_OBJ_STAY_APPEARANCE_CONTROL;ART_OBJ_STAY_AUTONOMY_CHARTER;ART_OBJ_STAY_CALL_CORD;ART_OBJ_STAY_CARPET;ART_OBJ_STAY_CLOCK;ART_OBJ_STAY_FRONT_DOOR;ART_OBJ_STAY_MEMORY_CHARTER;ART_OBJ_STAY_NOTEBOOK;ART_OBJ_STAY_PORTRAIT_LABEL;ART_OBJ_STAY_RAPIER;ART_OBJ_STAY_SCHEDULE;ART_OBJ_STAY_SEASON_WINDOW;ART_OBJ_STAY_STAIN;ART_OBJ_STAY_TEA;ART_SERVANT_OBJ_EDGAR_LOCK_PORT;ART_SERVANT_OBJ_IRIS_SENSOR_MEMBRANE;ART_SERVANT_OBJ_LUCA_BIO_PORT;ART_SERVANT_OBJ_MARA1_MAINTENANCE_PORT;ART_SERVANT_OBJ_MARA2_ARCHIVE_PORT;UI_CREDITS;UI_ENDING_GALLERY;ART_PUZ_E3_5_PANEL;VFX_PUZ_E3_5_STATE;ART_PUZ_F0_A_PANEL;VFX_PUZ_F0_A_STATE;ART_PUZ_F0_B_PANEL;VFX_PUZ_F0_B_STATE;ART_PUZ_F0_C_PANEL;VFX_PUZ_F0_C_STATE;ART_PUZ_F0_D_PANEL;VFX_PUZ_F0_D_STATE;ART_PUZ_F0_E_PANEL;VFX_PUZ_F0_E_STATE;ART_EVT_BROKEN_RESET;ART_EVT_E_HUB_STABILIZE;ART_EVT_F0_CORE_PATH;ART_EVT_EDR_WAKE;ART_EVT_EDS_TABLEAU,docs/requests/REQ-ART-2026-0003_본편전용.md,REQ-ART-2026-0002,DEMO_PRODUCTION_RATE_ACCEPTED,request_revision=2;scope_from=asset_manifest.csv;accepted_on=2026-08-29;acceptance_basis=user_confirmation;team_package_estimate=2_weeks_elapsed;estimate_scope=team_package_unallocated
REQ-AUD-2026-0003,AUD,BATCH-FULL03,본편 전용 사운드 전수 제작,full_only,P2,ACCEPTED,NOne,gatam,FULL_00_CONTENT_LOCK,FULL_AUDIO;D6_EDC;ED_REALITY;ED_STAY,AUD_AMB_H0_SERVICE_SPINE;AUD_AMB_H0_CLOCK_MACHINE;AUD_AMB_H0_LIFE_SUPPORT;AUD_AMB_H0_CLIMATE_CONTROL;AUD_AMB_H0_COLOR_SEPARATION;AUD_AMB_H0_PERSONALITY_ARCHIVE;AUD_AMB_H0_CORE_PATH;AUD_AMB_H0_CORE_RECORDS;AUD_AMB_H0_CORE_CHAMBER;AUD_AMB_R0_CRYO_CHAMBER;AUD_AMB_R0_FACILITY_EXIT;AUD_AMB_R0_SURFACE_THRESHOLD;AUD_PUZ_E3_5;AUD_PUZ_F0_A;AUD_PUZ_F0_B;AUD_PUZ_F0_C;AUD_PUZ_F0_D;AUD_PUZ_F0_E;AUD_EVT_BROKEN_RESET;AUD_EVT_E_HUB_STABILIZE;AUD_EVT_F0_CORE_PATH;AUD_EVT_EDR_WAKE;AUD_EVT_EDS_TABLEAU;BGM_S3_FRACTURE;BGM_S4_CORE;BGM_S5_STAY;BGM_R0_REALITY;BGM_CREDITS,docs/requests/REQ-AUD-2026-0003_본편전용.md,REQ-AUD-2026-0002,DEMO_PRODUCTION_RATE_ACCEPTED,request_revision=2;scope_from=asset_manifest.csv;accepted_on=2026-08-29;acceptance_basis=user_confirmation;team_package_estimate=1_month_elapsed;estimate_scope=team_package_unallocated
REQ-CNT-2026-0003,CNT,BATCH-FULL03,본편 콘텐츠 원문 전수 작성,full_only,P2,ACCEPTED,gatam,beru,FULL_00_CONTENT_LOCK,D6_EDC;ED_REALITY;ED_STAY;CNT_EP04;CNT_EP05;CNT_EP06;CNT_EP07;CNT_EP08;CNT_EP09,,docs/requests/REQ-CNT-2026-0003_본편원문.md,REQ-CNT-2026-0002,DEMO_STRING_RATE_ACCEPTED,request_revision=2;scope_from=v04_event_registry;accepted_on=2026-08-29;acceptance_basis=user_confirmation;team_package_estimate=2_weeks_elapsed;estimate_scope=team_package_unallocated
REQ-ART-2026-0004,ART,BATCH-STORE04,상점·홍보 아트 전수 제작,store_only,P2,ACCEPTED,210,beru,STEAM_02_STORE_PUBLIC,STEAM_STORE;LOGO;SCREENSHOTS;TRAILER,STORE_CAPSULE_HEADER;STORE_CAPSULE_SMALL;STORE_CAPSULE_MAIN;STORE_CAPSULE_VERTICAL;STORE_LIBRARY_HERO;STORE_SCREENSHOTS;STORE_TRAILER;STORE_LOGO_KO;STORE_LOGO_EN,docs/requests/REQ-ART-2026-0004_상점홍보.md,REQ-ART-2026-0002,STEAMWORKS_SPECS+TITLE_LOCK,request_revision=1;scope_from=asset_manifest.csv;accepted_on=2026-08-29;acceptance_basis=user_confirmation;team_package_estimate=2_weeks_elapsed;estimate_scope=team_package_unallocated
