object_id,display_name,object_class,location_ids,primary_events,reset_policy,art_asset_id,build_scope,content_text_scope,canonical_source
OBJ_BEDROOM_BED,침실 침대,SYSTEM_GATE,M2_BEDROOM,P6;NORMAL_SLEEP;D6;E1;POST_BROKEN_REST,per_loop_physics_persistent_knowledge,ART_OBJ_BEDROOM_BED,demo_full,조사;취침확인;리셋전후;파열후휴식,15§18.1
OBJ_BEDROOM_WINDOW,침실 창문,AMBIENT,M2_BEDROOM,P1;P5;E1,per_phase,ART_OBJ_BEDROOM_WINDOW,demo_full,초회;반복;단계별감각;센서대체,15§18.1
OBJ_SUBJECT_NOTEBOOK_SIM,시뮬레이션 수첩,INFO_RECORD,M2_BEDROOM;PORTABLE,A1;A2;J1-J5;BF;CF;DF;F3,persistent,ART_OBJ_SUBJECT_NOTEBOOK_SIM,demo_full,수첩탭;영구정보;실패기록;선택문장,15§18.1
OBJ_BEDROOM_MIRROR,침실 거울,AMBIENT,M2_BEDROOM,E1,per_phase,ART_OBJ_BEDROOM_MIRROR,demo_full,초회;반복;지연감각;접근성라벨,15§18.1
OBJ_BEDROOM_CALL_CORD,침실 호출끈,SYSTEM_GATE,M2_BEDROOM,P1;P6;E1,per_loop,ART_OBJ_BEDROOM_CALL_CORD,demo_full,호출결과;사용인별응답;기억누수,15§18.1
OBJ_EMERGENCY_REST_CAPSULE,비상 휴식 캡슐,SYSTEM_GATE,H0_SERVICE_SPINE,D6;FRACTURE_SLEEP,once_then_persistent,ART_OBJ_EMERGENCY_REST_CAPSULE,full_only,초회조사;선택확인;취소;사용후,15§18.1
OBJ_HALL_FAMILY_PORTRAIT,가족 초상화,AMBIENT,M1_CENTRAL_HALL,P1;E1;E_HUB;F0,per_phase,ART_OBJ_HALL_FAMILY_PORTRAIT,demo_full,단계별인물관계;반복조사,15§18.2
OBJ_HALL_WALLPAPER,복도 벽지,AMBIENT,M1_WEST_HALL;M1_EAST_HALL;M1_SERVICE_HALL,B1;C1;E_HUB,per_phase,ART_OBJ_HALL_WALLPAPER,demo_full,감각묘사;파열전후;길찾기표식,15§18.2
OBJ_HALL_CALL_CORD,중앙홀 호출끈,RELATION_OVERLAY,M1_CENTRAL_HALL,E_HUB;F2;EDS_CENTRAL_HALL,repeatable,ART_OBJ_HALL_CALL_CORD,demo_full,사용인별응답;부재;결산후반응,15§18.2
OBJ_KITCHEN_TEA_SET,차 도구,MAIN_PUZZLE_AMBIENT,M1_KITCHEN,P4;C3;F0_B,event_owned,ART_OBJ_KITCHEN_TEA_SET,demo_full,튜토리얼;조합피드백;기억파편;반복,15§18.2
OBJ_DINING_TABLE,식탁,RELATION_OVERLAY,M1_DINING_ROOM,E5;EDS_DINING_ROOM;EDS_TABLE_OBJECTS,per_settlement,ART_OBJ_DINING_TABLE,demo_full,결산단계;착석;엔딩후속;공석반응,15§18.2
OBJ_KITCHEN_LIFE_PIPE,주방 하부 배관,MAIN_PUZZLE,M1_KITCHEN;H0_LIFE_SUPPORT,E3_3;F0_B,event_owned,ART_OBJ_KITCHEN_LIFE_PIPE,demo_full,고장진단;수리;연구원기록;수리후,15§18.2
OBJ_GREENHOUSE_DOOR,온실 잠금문,NAVIGATION_LOCK,M1_GREENHOUSE_VESTIBULE,P5;IRIS_S1;C5,event_owned,ART_OBJ_GREENHOUSE_DOOR,demo_full,잠금사유;날씨모순;관계별허가,15§18.2
